Name,Link
BSS01651,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01651.sub_VS_FINAL_WCE_BSS01651.pval.signal.bedgraph.gz.bigWig
BSS01857,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01857.sub_VS_FINAL_WCE_BSS01857.pval.signal.bedgraph.gz.bigWig
MonocyteCD4CD16,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00178.sub_VS_FINAL_WCE_BSS00178.pval.signal.bedgraph.gz.bigWig
MatureNeutrophil,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01380.sub_VS_FINAL_WCE_BSS01380.pval.signal.bedgraph.gz.bigWig
CD4T,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00183.sub_VS_FINAL_WCE_BSS00183.pval.signal.bedgraph.gz.bigWig
Microglia_hg38,
BSS00762,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00762.sub_VS_FINAL_WCE_BSS00762.pval.signal.bedgraph.gz.bigWig
BSS00013,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00013.sub_VS_FINAL_WCE_BSS00013.pval.signal.bedgraph.gz.bigWig
BSS00060,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00060.sub_VS_FINAL_WCE_BSS00060.pval.signal.bedgraph.gz.bigWig
BSS00078,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00078.sub_VS_FINAL_WCE_BSS00078.pval.signal.bedgraph.gz.bigWig
BSS00088,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00088.sub_VS_FINAL_WCE_BSS00088.pval.signal.bedgraph.gz.bigWig
BSS00089,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00089.sub_VS_FINAL_WCE_BSS00089.pval.signal.bedgraph.gz.bigWig
BSS00173,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00173.sub_VS_FINAL_WCE_BSS00173.pval.signal.bedgraph.gz.bigWig
BSS00175,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00175.sub_VS_FINAL_WCE_BSS00175.pval.signal.bedgraph.gz.bigWig
BSS00214,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00214.sub_VS_FINAL_WCE_BSS00214.pval.signal.bedgraph.gz.bigWig
BSS00215,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00215.sub_VS_FINAL_WCE_BSS00215.pval.signal.bedgraph.gz.bigWig
BSS00216,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00216.sub_VS_FINAL_WCE_BSS00216.pval.signal.bedgraph.gz.bigWig
BSS00217,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00217.sub_VS_FINAL_WCE_BSS00217.pval.signal.bedgraph.gz.bigWig
BSS00220,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00220.sub_VS_FINAL_WCE_BSS00220.pval.signal.bedgraph.gz.bigWig
BSS00227,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00227.sub_VS_FINAL_WCE_BSS00227.pval.signal.bedgraph.gz.bigWig
BSS00228,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00228.sub_VS_FINAL_WCE_BSS00228.pval.signal.bedgraph.gz.bigWig
