0	-	17300
17300	-	34600
34600	-	51900
51900	-	69200
69200	-	86500
86500	-	103800
103800	-	121100
121100	-	138400
138400	-	155700
155700	-	173000
173000	-	190300
190300	-	207600
207600	-	224900
224900	-	242200
242200	-	259500
259500	-	276800
276800	-	294100
294100	-	311400
311400	-	328700
328700	-	346000
346000	-	363300
363300	-	380600
380600	-	397900
397900	-	415200
415200	-	432500
432500	-	449800
449800	-	467100
467100	-	484400
484400	-	501700
501700	-	519000
519000	-	536300
536300	-	553600
553600	-	570900
570900	-	588200
588200	-	605500
605500	-	622800
622800	-	640100
640100	-	657400
657400	-	674700
674700	-	692000
692000	-	709300
709300	-	726600
726600	-	743900
743900	-	761200
761200	-	778500
778500	-	795800
795800	-	813100
813100	-	830400
830400	-	847700
847700	-	867568
